Key,Campaign Name,Channel,Campaign Type,Campaign Objective,Business Unit,Business Product,Start Date,End Date,Campaign Owner,Target URL,Tracking Link
EM_122512_lkFaCa,Black Friday Campaign 2021,Email,Email CTA,Revenue Generation,Lending,Business Cash Advance,09-Nov-2021,12-Nov-2021,Nikhil Lakha,https://vodapaydev.vodacom.co.za/vodapay/personal/home,https://vodapaydev.vodacom.co.za/vodapay/personal/home?cid=EM_122512_lkFaCa
AF_122513_T30Pym,BTA: 30 Day Payment Holiday,Affilliates,SMS,Revenue Generation,Lending,Business Term Advance,10-Jan-2022,31-Jan-2022,Sadia Serajoodien,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=AF_122513_T30Pym
EM_122514_T30Pym,BTA: 30 Day Payment Holiday,Email,Email Banner,Revenue Generation,Lending,Business Term Advance,10-Jan-2022,31-Jan-2022,Sadia Serajoodien,https://vodapay.vodacom.co.za/merchant/,https://vodapay.vodacom.co.za/merchant/?cid=EM_122514_T30Pym
SM_122515_oSueic,VodaSure Device Cover ,Social Media,Facebook: Paid,Lead Generation,Insurance,Device Insurance,12-Jan-2022,31-Mar-2022,Liyah Adam ,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance?cid=SM_122515_oSueic
DI_122516_oSueic,VodaSure Device Cover ,Display,Standard Display,Lead Generation,Insurance,Device Insurance,13-Jan-2022,31-Mar-2022,Liyah Adam ,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance?cid=DI_122516_oSueic
PS_122517_oSueic,VodaSure Device Cover ,Paid Search,Text Ads,Lead Generation,Insurance,Device Insurance,13-Jan-2022,31-Mar-2022,Liyah Adam ,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance?cid=PS_122517_oSueic
EM_122518_oSueic,VodaSure Device Cover ,Email,Email Banner,Lead Generation,Insurance,Device Insurance,01-Feb-2022,31-Mar-2022,Sadia Serajoodien,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance,https://www.vodacom.co.za/vodacom/services/insurance/device-insurance?cid=EM_122518_oSueic
DI_122519_eilens,Retail Screens POS Info,Display,HTML,Lead Generation,POS,Vodapay Kwika,19-Jan-2022,19-Jan-2023,Sarika Haribhai,https://www.vodacombusiness.co.za/business/solutions/financial-services/accept-payments,https://www.vodacombusiness.co.za/business/solutions/financial-services/accept-payments?cid=DI_122519_eilens
EM_122520_aer,Mailer,Email,Email Banner,Lead Generation,Lending,Business Cash Advance,01-Mar-2022,31-Mar-2022,Sadia Serajoodien,https://vodalend.vodacombusiness.co.za/,https://vodalend.vodacombusiness.co.za/?cid=EM_122520_aer
AF_122521_oLeCmp,VodaLend - Compare,Affilliates,SMS,Revenue Generation,Lending,Business Cash Advance,28-Jan-2022,31-Mar-2022,Sadia Serajoodien,https://vodalend.vodacombusiness.co.za/,https://vodalend.vodacombusiness.co.za/?cid=AF_122521_oLeCmp
SM_122522_oLeaeb,VodaLend Facebook Always On Thematic Manufacturing,Social Media,Facebook: Paid,Revenue Generation,Lending,Business Term Advance,01-Feb-2022,31-Mar-2022,Robyn Enslin,https://vodalend.vodacombusiness.co.za/,https://vodalend.vodacombusiness.co.za/?cid=SM_122522_oLeaeb
SM_122521_oLeaeb,VodaLend Facebook Always On Thematic IT,Social Media,Facebook: Paid,Revenue Generation,Lending,Business Term Advance,01-Feb-2022,31-Mar-2022,Robyn Enslin,https://vodalend.vodacombusiness.co.za/,https://vodalend.vodacombusiness.co.za/?cid=SM_122521_oLeaeb
SM_122522_oLeaeb,VodaLend Facebook Always On Thematic Transport,Social Media,Facebook: Paid,Revenue Generation,Lending,Business Term Advance,01-Feb-2022,31-Mar-2022,Robyn Enslin,https://vodalend.vodacombusiness.co.za/,https://vodalend.vodacombusiness.co.za/?cid=SM_122522_oLeaeb
SM_122523_oLeaeb,VodaLend Facebook Always On 30 Day Payment Holiday ,Social Media,Facebook: Paid,Revenue Generation,Lending,Business Term Advance,01-Feb-2022,31-Mar-2022,Robyn Enslin,https://vodalend.vodacombusiness.co.za/,https://vodalend.vodacombusiness.co.za/?cid=SM_122523_oLeaeb
MB_122522_oLeBA,VodaLend - BCA,Mobile,Push Notifications,Revenue Generation,Lending,Business Cash Advance,31-Jan-2022,28-Feb-2022,Sadia Serajoodien,https://vodapay.vodacom.co.za/merchant/,https://vodapay.vodacom.co.za/merchant/?cid=MB_122522_oLeBA
AF_122523_oLeBA,VodaLend - BCA,Affilliates,Banner,Revenue Generation,Lending,Business Cash Advance,02-Feb-2022,31-Mar-2022,Sadia Serajoodien,https://vodapay.vodacom.co.za/merchant/,https://vodapay.vodacom.co.za/merchant/?cid=AF_122523_oLeBA
AF_122524_oLeBA,VodaLend - BTA,Affilliates,Banner,Revenue Generation,Lending,Business Term Advance,02-Feb-2022,31-Mar-2022,Sadia Serajoodien,https://bit.ly/3yFX3L6,https://bit.ly/3yFX3L6?cid=AF_122524_oLeBA
MB_122525_T5MhVM,BTA R5M push CVM,Mobile,SMS,Lead Generation,Lending,Business Term Advance,09-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=MB_122525_T5MhVM
SM_122526_Taco:M,BTA Facbeook: March Thematic Business Services,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122526_Taco:M
SM_122527_Taco:M,BTA Facbeook: March Thematic Care Industry,Social Media,Facebook: Paid,Lead Generation,Lending,Business Term Advance,10-Mar-2022,31-Mar-2022,Robyn Enslin,https://www.vodacombusiness.co.za/business/solutions/fund-my-business,https://www.vodacombusiness.co.za/business/solutions/fund-my-business?cid=SM_122527_Taco:M
